,긍정단어,실제 소비자평(긍정),긍정단어 수,부정단어,실제 소비자평(부정),부정단어 수
762,뱃살,0,23,내용,0,2
763,절용,0,23,스파,0,2
764,쟁여놓,1,23,찬물,0,2
765,디테일,0,23,충격,-1,2
766,주의,-1,23,뮤릎,0,2
767,보시,0,23,차곡차곡,0,2
768,출퇴근,0,22,자크,0,2
769,취향,0,22,경향,0,2
770,아예,0,22,은색,0,2
771,키도,0,22,왜케,-1,2
772,매력,1,22,바람막이,0,2
773,무슨,0,22,너비,0,2
774,누구,0,22,여친,0,2
775,맞춤,0,22,쫄려,-1,2
776,폭도,0,22,유행,0,2
777,부모님,0,22,쭈리,0,2
778,스탠,0,22,경쟁,0,2
779,자연,0,22,요나,0,2
780,와우,1,22,낚시,0,2
781,저렴,1,22,카키색,0,2
782,얘기,0,22,스트레스,-1,2
783,진작,1,22,핏하,0,2
784,빵빵,0,22,마차,0,2
785,디도,0,22,요한,0,2
786,고해,0,22,핏임,0,2
787,여윽시,1,22,자신,0,2
788,갈수록,0,22,우주복,0,2
789,무크,0,22,몸무게,0,2
790,점점,0,21,체감,0,2
791,아디다스,0,21,매번,0,2
792,싼마이,-1,21,거사,0,2
793,타이트,-1,21,거립니,0,2
